"Wisby Oaked Porter 2012","Gotlands Bryggeri","Porter - Other",8.5,60,,,,,,,,3.5,"2015-03-12 22:38:00",https://untappd.com/c/162197554,https://untappd.com/beer/467490,https://untappd.com/brewery/3331,Sweden,Visby,
"Christmas Eve at a New York City Hotel Room","Evil Twin Brewing","Stout - Imperial / Double",10,50,,,,,,,,4,"2015-03-12 22:39:32",https://untappd.com/c/162198040,https://untappd.com/beer/459831,https://untappd.com/brewery/3735,"United States",,"2500 Valby"
Yeti,"Great Divide Brewing Company","Stout - American Imperial / Double",9.5,75,,,,,,,,4.5,"2015-03-12 22:40:43",https://untappd.com/c/162198416,https://untappd.com/beer/833,https://untappd.com/brewery/604,"United States",Denver,CO
"Hibernation Ale","Great Divide Brewing Company","Old Ale",8.7,0,,,,,,,,3.5,"2015-03-12 22:41:33",https://untappd.com/c/162198652,https://untappd.com/beer/414,https://untappd.com/brewery/604,"United States",Denver,CO
"Brooklyn Lager","Brooklyn Brewery","Lager -  Vienna / Amber",5.2,33,,,,,,,,3.5,"2015-03-12 22:45:31",https://untappd.com/c/162199946,https://untappd.com/beer/3558,https://untappd.com/brewery/259,"United States",Brooklyn,NY
"Pistonhead Kustom Lager","Brutal Brewing","Lager - Pale",4.9,33,,,,,,,,3,"2015-03-12 22:46:49",https://untappd.com/c/162200353,https://untappd.com/beer/82286,https://untappd.com/brewery/16622,Sweden,"143 03 Vårby",
"Pistonhead Flat Tire","Brutal Brewing","Lager - Pale",4.5,26,,,,,,,,2.5,"2015-03-12 22:47:08",https://untappd.com/c/162200462,https://untappd.com/beer/529682,https://untappd.com/brewery/16622,Sweden,"143 03 Vårby",
"Barney Flats Oatmeal Stout","Anderson Valley Brewing Company","Stout - Oatmeal",5.8,15,,,,,,,,3.5,"2015-03-12 22:48:03",https://untappd.com/c/162200733,https://untappd.com/beer/8821,https://untappd.com/brewery/3880,"United States",Boonville,CA
"Newcastle Brown Ale","John Smiths","Brown Ale - English",4.7,18,,,,,,,,2.5,"2015-03-12 22:49:07",https://untappd.com/c/162201104,https://untappd.com/beer/5856,https://untappd.com/brewery/1816,England,Tadcaster,"North Yorkshire, LS24 9SA"
"S:t Eriks Rauchbier","S:t Eriks Bryggeri",Rauchbier,5.5,0,,,,,,,,3,"2015-03-12 22:49:53",https://untappd.com/c/162201347,https://untappd.com/beer/515478,https://untappd.com/brewery/16673,Sweden,Arlandastad,
"S:t Eriks IPA","S:t Eriks Bryggeri","IPA - American",5.3,0,,,,,,,,3.5,"2015-03-12 22:50:26",https://untappd.com/c/162201506,https://untappd.com/beer/31033,https://untappd.com/brewery/16673,Sweden,Arlandastad,
"S:t Eriks APA","S:t Eriks Bryggeri","Pale Ale - American",5,0,,,,,,,,3,"2015-03-12 22:50:39",https://untappd.com/c/162201570,https://untappd.com/beer/148701,https://untappd.com/brewery/16673,Sweden,Arlandastad,
"S:t Eriks Centennial","S:t Eriks Bryggeri","Strong Ale - American",5.9,0,,,,,,,,3,"2015-03-12 22:50:49",https://untappd.com/c/162201625,https://untappd.com/beer/589432,https://untappd.com/brewery/16673,Sweden,Arlandastad,
"S:t Eriks Julale Ekologisk","S:t Eriks Bryggeri","Winter Ale",5.4,0,,,,,,,,3,"2015-03-12 22:51:12",https://untappd.com/c/162201743,https://untappd.com/beer/462651,https://untappd.com/brewery/16673,Sweden,Arlandastad,
